Question,Answer,Category
ال+ سلام علي +كم أنا اعاني من خروج دود أسود مع ال+ تبول و+ لكن مش دائم +ا يخرج شوالسبب,ربما هذا ليس ب+ ال+ دود … … بل عبار +ه عن دم متخثر و+ الذي يجب ال+ بحث عن مصدر +ه الذي غالب +ا ما يكون من إحدى ال+ كلي +ت +ين لا بد من عمل تحاليل مخبر +ي +ه و+ صور إشعاعي +ة ل+ معرف +ة ذلك راجع +ي اختصاصي ال+ مسالك ال+ بوليه,أمراض المسالك البولية والتناسلية
سبب تأخر ال+ دور +ة,"عد +ه أسباب قد تؤدي الى تأخر أو خلل في ال+ دوره ال+ شهريه و+ من +ها 1 . ال+ قلق و+ ال+ توتر 2 . خلل في ال+ نظام ال+ غذائي 3 . تكيس على ال+ مبايض 4 . خلل في هرمون +ات ال+ جسم مثل : 1 . زياد +ه في هرم +ون ال+ حليب 2 . خلل في هرمون +ات الغد +ه ال+ نخاميه 3 . خلل في ال+ هرمون +ات التي تفرز +ها الغد +ه ال+ درقيه ، و+ ال+ هيبوثلامس 4 . ارتفاع في ال+ هرم +ون ال+ ذكرى غالب +ا في حال +ت +ك قد يكون هذا نتيج +ه ل+ ال+ توتر أو خلل في ال+ نظام ال+ غذائي , ف+ ب+ هذه ال+ حاله علي +ك اما انتظار نزول ال+ دوره ب+ شكل عشوائي أو مراجع +ه طبيب +ك ال+ نسائيه ل+ إجراء تصوير ل+ ال+ رحم و+ ال+ مبايض ب+ جهاز ال+ موج +ات ال+ فوق صوتي +ه و+ من ثم اعطائك حبوب ل+ ال+ مساعده على تنزيل ال+ دوره",أمراض نسائية
اسال عن ال+ ناسور ال+ جار شرجى ال+ متشعب ال+ مرتجع حيث انى اعانى من +ه منذ فتر +ة من ال+ زمن و+ أجري +ت جراح +ة منذ عشر +ة أعوام و+ بعد ذلك عاد الى مر +ة أخرى و+ لكن في عد +ة أماكن . .,"ال+ ناسور ال+ متشعب و+ ال+ متكرر يعتبر من ال+ حال +ات ال+ صعب +ة و+ يعتمد نجاح ال+ عملي +ة على عوامل كثير +ة من +ها : مدى تشعب ال+ ناسور و+ ال+ انسج +ة التي يمر من خلال +ها كفاء +ة و+ تخصص ال+ جراح ، من حيث ال+ تقني +ة التي تم اختيار +ها أثناء ال+ عملي +ة ب+ ما يتناسب مع نوع ال+ ناسور التزام ال+ مريض ب+ تعليم +ات ال+ عناي +ة ب+ ال+ جرح ما بعد ال+ عملي +ة وجود أمراض أو عوامل أخرى مرض ال+ سكري ، أو تناول ال+ كورتيزون ب+ شكل مزمن ، أو وجود مرض كرون ل+ ذلك و+ ل+ تفادي رجوع ال+ ناسور و+ علاج ال+ ناسور ال+ متشعب ينصح ال+ مريض ب+ ال+ انتباه الى ال+ عوامل التي تؤثر على تكرار عود +ة ال+ ناسور ( مثل عوامل قبل عملي +ة ال+ ناسور و+ خلال ال+ عملي +ة ) ، كما يجب ان يلتزم ال+ مريض ب+ ال+ تعليم +ات ما بعد عملي +ة ال+ ناسور : ال+ التزام ب+ ال+ صح +ة و+ ال+ نظاف +ة ال+ عام +ة و+ ال+ خاص +ة ل+ ال+ منطق +ة ال+ مراجع +ة ب+ شكل دوري خلال ال 6 شهور ال+ اولى ما بعد ال+ عملي +ة مراجع +ة ال+ طبيب فور حدوث اي انتفاخ أو إفراز أو اي شيء غير طبيعي ل+ ال+ مزيد : عملي +ة ال+ ناسور ب+ ال+ ليزر ال+ مرجع : Recurrent anal fistulas : When , why , and how to manage ?",جراحة عامة
ال+ سلام علي +كم أنا مرضع و+ قد تأخر +ت ال+ دور +ة 10 أيام و+ قم +ت ب+ أجراء فحص حمل منزل +ي و+ لا يوجد حمل هل هذا طبيعي ؟,طبيعي مع ال+ رضاع +ة,أمراض نسائية
أنا حامل ب+ قال +ي أسبوع +ين و+ أدخل ال+ خامس و+ اعرف جنس ال+ جنين أنا اتناول اوميقا 3 منذ ال+ شهر ال+ أول و+ لم أستطيع اكمال +ها الان هل ممكن ان اتوقف عن +ها ل+ مد +ه ؟ .,لا توجد مشكل +ة ان شا ء الله,أمراض نسائية
لو سمح +ت وقع لي إجهاض منذ شهر تحديد +ا و+ أنا الان عند +ي ال+ عاد +ة ال+ شهري +ة في ال+ يوم ال+ رابع اي قبل ال+ أربع +ين أريد تركيب الالة ك+ وسيل +ة ل+ منع ال+ حمل هل يوم تركيب +ها ال+ أن أو . .,ممكن تركيب +ها خامس يوم,أمراض نسائية
هل يؤثر ميرسيلون على ال+ حمل ل+ مد +ة طويل +ة ، علم +ا +ان +ي اخذ +ت +ه ل+ مد +ة 4 أشهر و قبل ال+ زواج كان +ت دورتي منتظم +ة و الان أنا في ال+ دور +ة ال+ ثاني +ة مرحل +ة ال+ تبويض بعد ال+ توقف عن . .,لا يؤثر بعد هذه ال+ فتر +ة ال+ قليل +ة,أمراض نسائية
أنا ولد +ت من سن +ت +ين و+ ظهر عند +ي فتق جراحي عمودي على مكان ال+ عملي +ة ال+ قيصري +ة و+ أنا الان حامل ف+ هل هناك خطر من هذا ال+ حمل و+ ماذا علي ان أفعل,ال+ خطر و ال+ مشاكل تكمن في ال+ شهور ال+ أخير +ة فقط أن شاء الله ، ال+ عمل الآن ال+ متابع +ة ال+ جيد +ة ب+ استمرار,أمراض نسائية
كم مد +ة علاج ارتفاع هرم +ون ال+ حليب و+ هرم +ون ال+ ذكور +ة و+ تكيس ال+ مبايض ؟ ؟ و+ هل يجب ان أقوم ب+ عمل تحاليل هذي ال+ هرمون +ات بعد ال+ دور +ة ال+ شهري +ة ؟,هذا حسب شد +ة ال+ مرض عند +ك,أمراض نسائية
احتاج ل+ علاج ثؤلول تناسلي صغير و ينتشر و لا أستطيع ال+ ذهاب ل+ ال+ طبيب لم أمارس ال+ جنس و لس +ت متزوج +ة +كن +ت اعاني من ال+ ثأليل في يد +ي من قبل لا أدري ان كان . .,ل+ ال+ اسف يا فتا +ة ليس هناك من علاج موضعي غير ال+ كي ال+ كهربائي أو ال+ ليزر علي +ك ال+ عزم على زيار +ة طبيب +ة أمراض جلدي +ة ل+ ال+ تخلص من ال+ ثالول قبل ان ينتشر في جميع أنحاء جهاز +ك ال+ تناسلي,الأمراض الجلدية
عندى مشكل +ة بين ال+ فقر +ة 3 و 4 في ال+ قطني +ة ب+ ال+ ظهر عبار +ة عن ضيق و+ بدأ +ت ال+ عب جيم من فتر +ة ب+ جانب ال+ تمارين ال+ معتاد +ة ل+ ال+ ظهر استمر أم لا,أفضل رياض +ة ال+ سباح +ة,جراحة العظام
أخ +ي ال+ صغير وقع في حال +ة اختناق و لم نعرف ال+ سبب ذهب +نا ب+ +ه الى ال+ طبيب و وضح ل+ +نا +ان +ه مريض وقع في حال +ة هيستيريا أرجو +ك افيدني ب+ حلول,ان حال +ة ال+ اختناق يصاحب +ها ازرقاق و+ تغير في مستوى ال+ تنفس و+ ال+ عدد و+ اختلال ب+ ال+ وعي و+ ب+ غير ذلك يعتبر بعد إجراء ال+ فحوص +ات ال+ كامل +ة وان تكون ال+ فحوص +ات سليم +ة يعتبر هستيريا,الطب العام
أنا بنت غاب +ت عن +ي ال+ دور +ة ال+ شهري +ة 3 أشهر و بعد +ها نزل دم ال+ حيض ل+ مد +ة زاد +ة عن 15 يوم +ا في أول ال+ حيض كان بني قاتم مع ظهور حب شباب ب+ شكل كثيف . .,راجع +ي ال+ اختصاصي,أمراض نسائية
لدي توتر و+ قلق و+ عدم انتصاب صباحي و+ عند +ي سكر تراكمي 7 ال+ عمر 35 لا أستطيع ال+ نوم أنام فقط 3 ساع +ات أو أقل ، أنام و+ أصحى أفكر . . و+ لا أستطيع حتي ال+ تفكير في ال+ جنس . .,أسباب عدم قدر +ة ال+ قضيب على ال+ انتصاب عند إثار +ت +ه جنسي +ا 1 - أسباب نفسي +ة ، توتر عصبي 2 - ال+ أمراض ال+ مزمن +ة مثل ال+ سكري و+ تصلب ال+ شرايين نقص أو هبوط إنتاج هرم +ون ال+ تستوستيرون في ال+ خصي +ة ، إما نتيج +ة سوء ال+ تغذي +ة أوالتقدم في ال+ سن 4 - تناول ال+ أدوي +ة ال+ مزمن +ة مثل أدوي +ة ضغط ال+ دم و+ أدوي +ة ال+ قرح +ة و+ مضاد +ات ال+ اكتئاب ، مضاد +ات الهيستامين كما يؤثر شرب ال+ كحول و+ ال+ تدخينمارس ال+ رياض +ة و+ ال+ مشي و+ ال+ تغذي +ة ال+ متوازن +ة ، و+ حافظ على مستوى ال+ سكر في ال+ حدود ال+ مطلوب +ة . .,الصحة الجنسية
قبل تسع سنو +ات تقريب +ا عمل +ت عملي +ة نزع كيس في ال+ رحم هل يشكل هذا عائق ل+ ال+ حمل ?,افتكر +ان +ه كيس ب+ ال+ مبيض و+ إزال +ة كيس من ال+ مبيض لاتؤثر على ال+ إنجاب,أمراض نسائية
ال+ سلام علي +كم ابني عمر +ه 11 سن +ه و+ دائم +ا يضع اي شي في فم +ه حتى لو كان سلك ال+ سماع +ات ل+ ال+ عض و+ يطلب من +ي عضاض +ه تبع +ت ال+ رضع عشان يعض +ها ارج +وا الي يعرف يفسرلي ال+ سبب . .,يبدو ان ال+ مشكل +ة منشؤ +ها نفس +ي اما ب+ سبب شعور +ه ب+ قلق أو ضغط نفس +ي أو ربما يجد متع +ة و لذ +ة في ذلك أو +ان +ه يقلد أحد أفراد ال+ عائل +ة . . يمكن طرح ال+ سؤال في قسم ال+ طب ال+ نفسي ل+ ال+ حصول على إجاب +ة أفضل . . لكن كوني طبيب +ة اسنان انصحك ب+ حل ال+ مشكل +ة سريع +ا ل+ ما ل+ هذه ال+ عاد +ة من اثر سلبي على صح +ت +ه ب+ شكل عام ب+ سبب تلوث ال+ أشياء ال+ مستخدم +ة في ال+ عض و على صح +ة اسنان ب+ شكل خاص لان +ها قد تسبب مع مرور ال+ زمن سوء في ال+ أطباق و تأكل سطح ال+ أسنان,طب الأسنان
ال+ سلام و+ على +كم أنا كثير ال+ تعرق لي درج +ة انو و جهي ب+ يغرق من ال+ عرق مع انو لي حوليني في ال+ غرفه مابيعرقو مثل +ي أكثر منطق +ة تعرق ال+ وجه و+ ال+ ظهر بس خفيف,علي +ك و+ تحت إشراف ال+ طبيب ب+ استخدام مادةoxybutynin chloride 5 عيار خمس +ة ملغ نصف حب +ة مر +ت +ين أو 3 مر +ات يومي +ا و+ يمكن زياد +ة ال+ جرع +ة و+ لكن هذه ال+ مادةعليك ال+ حذر إذا +كن +ت تعان +ين من مشاكل في ال+ غد +ة ال+ درقي +ة أو تخثر في ال+ دم أو في حال +ة التهاب ال+ قولون أو انسداد ال+ أمعاء اوضغط ال+ عين أو خلل في وظيف +ة ال+ قلب . أو إذا كان ل+ ديك حساسي +ة من اللكتوز . كما ان هذا ال+ دواءقد يضعف من يقظ +ت +ك ف+ علي +ك ال+ حذر أثناء قياد +ة ال+ سيار +ة . لذا أكرر يجب تناول هذا ال+ دواء تحت إشراف ال+ طبيب فقط,الأمراض الجلدية
سلام . . أنا أعان +ي من ال+ جير في اسناني ( ال+ بلاك ) و أسنان +ي حساس +ة ل+ درج +ة +ان +ي أخاف ان أذهب ل+ ال+ طبيب ل+ تنظيف +ها ان تسقط . . أطلب ال+ مساعده على ال+ حصول على دواء يساعدني على إزال +ت +ه,وحد +ه طبيب ال+ أسنان الذي يمكن +ه إزال +ة ال+ جير ب+ استخدام آل +ة خاص +ة تعتمد على ذبذب +ات ناعم +ة لطيف +ة على سطح ال+ أسنان . . و هي ال+ طريق +ة ال+ أكثر شيوع +ا . . و هناك ال+ تقليح ال+ يدوي ب+ استخدام أدو +ات معين +ة . . الذي يتم ايض +ا في عياد +ة ال+ أسنان,أمراض الأسنان
ابنى ب+ يعانى من شحوب و+ حلل +ت دم طلع انيميا و+ نقص كر +ات ال+ دم ال+ بيضا مع ال+ علم ان عند +ه جدري و+ ابتدا يتعافى ما رأي +ك,نحتاج تحاليل إضاف +ة و فحص +ه ب+ واسط +ة متخصصالتحاليل تشمل براز و serum iron  TIBC,أمراض الأطفال
ال+ سلام علي +كم أشعر بالم شديد و مؤلم جد +ا ب+ ال+ جانب ال+ ياسر ل+ ال+ بطن مباشر +ة تحت ال+ قفص ال+ صدري ال+ مرجو ال+ إفاد +ة,ال+ أمر قد يتطلب على ال+ أقل فحص سرير +ي عند ال+ طبيب لان ال+ أسباب ال+ وارد +ة عديد +ة بين التهاب +ات أو تقرح +ات في ال+ معد +ة أو ال+ بنكرياس أو ال+ قولون أو ال+ كلي +ة أو ال+ طحال . . و قد يتطلب ال+ أمر الى اجراء بعض ال+ فحوص +ات ل+ ال+ توصل الى ال+ سبب,أمراض الجهاز الهضمي
طفلي عمر +ه 9 أشهر لدي +ه اسهال ب+ شكل كثيف و+ لاتوجد حمى يستفرغ عندما اعطي +ه ال+ املاح اذ +ا لم اعطي +ه ال+ املاح لايستفرغ أحيان +ا لايرضى ان يرضع و+ لااظن ان ال+ اسهال من ال+ أسنان ماهو ال+ حل . .,ال+ حل هو ب+ علاج +ه ب+ اسرع وقت ممكن و+ لا يمكن ترك +ه أبد +ا إذ ان ال+ أطفال سرعان ما يصيب +هم ال+ جفاف خاص +ة وان +ك تقول +ين ب+ أن +ه يستفرغ إضاف +ة الى ال+ اسهال و+ هذا يعني بان تعويض ما يخسر +ه من ماء وااملاح يجب ال+ تعويض عن +ها ب+ طريق +ة أخرى اي من خلال ال+ مصل لذا يجب أخذ +ه الى ال+ مستشفى و+ عدم ال+ انتظار ، هذه ال+ أمور ال+ مستعجل +ة أتمنى ان لا تنتظر +وا من +ا ال+ إجاب +ة ل+ كي تعالجو اطفال +كم بل يجب ال+ تحرك فور +ا في مثل هذه ال+ حال +ات ال+ طارئ +ة,أمراض الأطفال
ال+ سلام علي +كم طفلي عمر +ه 3 سنو +ات عضو +ه ال+ ذكرى صغير مر +ه حتى +ان +ه لايبرز ال+ اوقت ال+ تبول هل ال+ أمر طبيعب ام توجد مشكل +ه,منم ال+ مبكر ال+ حديث عن ال+ موضوع ، و+ لكن هناك ال+ كثير من ال+ عوامل من +ها ال+ وراثي +ة و+ ال+ هرموني +ة ، راجع +ي اختصاصي أطفال . ل+ تقييم ال+ حال +ة .,الصحة الجنسية
يوجد شعور ب+ وجود كتل +ه أو نتوء كوروي ال+ ملمس في داخل ال+ ثدي تحديد +ا من ال+ جهه ال+ سفلى ب+ ال+ ثدي و+ هي غير مؤلم +ه و+ غير ظاهر +ه فقط عند ال+ لمس أشعر ب+ +ها هل هي خطر +ه ومااسباب . .,يجب ال+ فحص ب+ واسط +ه جراح و عمل سونار على ال+ ثدى ل+ تقيم نوع ال+ كتله و حجم +ها,الأورام الخبيثة والحميدة
مرحب +ا أنا عمري 20 وزني 50 طولي 168 لا اعاني من أمراض هل استعمال ال+ تستير +ون 3 امبولة يئزي بي صح +ت +ي و+ مازا ينفعوني ازا اخز +ت +هم,لا انصحك ب+ هذا مطلق +ا ل+ ما ل+ +ه من أضرار ، ل+ زياد +ة و+ زنك انصحك ب+ تناول 5 و+ جبا +ت يومي +ا مع مضاعف +ة ال+ كمي +ة ال+ معتاد +ة علي +ها مع ال+ طعام مع ال+ تقليل من شرب ال+ ماء و+ ال+ اكثار من ال+ فاكه +ة ال+ مجفف +ة ، ك كما انصحك ب+ شرب ال+ حليب و+ ال+ سباح +ة لان +ها تساعد دائم +ا على ال+ شعور ب+ ال+ جوع,علم الصيدلة
دكتور أنا فقد +ت جزء كبير من غشاء بكار +ت +ي هلا يمكن أنا أفقد ال+ جزء ال+ متبقي من غير اي سبب ؟,لا يحدث أي شيء ب+ دون سبب ، و+ يمكن رتق ال+ جزء ال+ متبقي أيض +ا ، راجع +ي اختصاصي نسائي +ة .,الصحة الجنسية
ال+ سلام علي +كم . لدي وجع أسفل ال+ قدم بطان +ة ال+ قدم و+ خاص +ة عند ال+ مشي و+ أثناء ال+ ليل يزداد ال+ ألم . و+ خاص +ة أنا صائم . تحي +ات +ي,التهاب بطان +ه ال+ قدم,أمراض العضلات والعظام و المفاصل
هل يمكن إزال +ة مسام +ات ال+ ثدي و ال+ شعر ال+ خفيف ب+ استخدام ال+ ليزر ال+ ازال +ة ال+ مسام +ات ؟ و هل هناك ضرر ل+ استخدام +ه ب+ ال+ ثدي و هل يوجد طريق +ة ثاني +ة أفضل ؟,يمكن إزال +ة مسام +ات ال+ ثدي عن طريق كريم خاص كما يمكن إزال +ة ال+ شعر عن ال+ ثدي ب+ كريم آخر يزيل +ه ب+ سهول +ة هذه ال+ كريم +ات متواجد +ة في فلسطين,الأمراض الجلدية
ما هي ال+ أطعم +ة التي تقلل ال+ رغب +ة ال+ جنسي +ة,تقليل ال+ أكل كل +ه ! ! و+ ممارس +ة هوي +ات تشغل وقت +ك . مثل ال+ رياض +ة و+ ال+ مطالع +ة و+ غير +ها .,الصحة الجنسية
ال+ سلام علي +كم هل يوجب انكسار طرف سن ب+ دون عصب ( تم سحب عصب +ه من قبل ) خلع +ه ؟ ام أستطيع تلبيس +ه في أقرب فرص +ة ؟ علم +ا انني حامل في آخر ال+ شهر ال+ سابع . .,ب+ قدر ال+ إمكان نحاول ال+ حفاظ علي اي جزء موجود في ال+ سن حتي لو تبق +ا ال+ جذور فقط ب+ نقوم ب+ حشو ال+ عصب و ترميب مسمار و من ثم عمل حشو أعلا +ه ثم ال+ تلبيس . لكن من رأي ال+ شخصي ان تبتعدي كل ال+ بعد عن عمل اي شيء في أول و آخر ثلاث شهور في ال+ حمل حفاظ +ا و سلام +ة ال+ جنين,صحة الأسنان
أقدر استخدم مانع ال+ بوستينور مع ال+ رضاعه علم +ا ان ال+ دوره ماجاتني بعد ال+ ولاده لي ثلاث أشهر,نعم . . ب+ إمكان +ك . .,أمراض نسائية
أود معرف +ة ال+ تحاليل ال+ لازم +ة ل+ ال+ مساعد +ة على ال+ حمل .,ال+ تحاليل كثير +ة من +ها هرموناتFSH وLHوProlactinوTSH هذا مبدئي +ا . و+ طبع +ا سونار ل+ ال+ رحم و+ ال+ مبايض . و+ رصد ا باض +ة ب+ ال+ سونار ال+ مهبلي . و+ صور +ة صبغي +ة ل+ قنو +ات ف+ ال+ وب . و ننسى تحليل ال+ سائل ال+ منوي ل+ ال+ زوج .,الحمل والولادة
ماهو ال+ مرض الذي ل+ +ه أعراض نقط حمراء ب+ كل ال+ جسم مع حك +ه خفيف +ه و+ يوجد ايض +ا بروز خفيف عنقودي خلف ال+ اذن +ين ؟,منذ متى ظهر +ت ال+ حبوب ؟ هل هي ب+ حجم واحد أو أحجام مختلف +ة ؟ هل تناول +ت علاج ما و+ ماذا كان تأثير +ه ، هل تختفي و+ تعود ام +ان +ها ثابت +ة ؟ هل تعاني من أمراض ما مثل ال+ سكري أو ال+ كلى ؟,الأمراض الجلدية
أنا حامل في ال+ شهر ال+ رابع و عمل +ت تحليل toxoplasmose و طلع 164 = IGg بوزيتيف و 45 = IgM بوزيتيف . ما ال+ عمل . أرجو ال+ إجاب +ة في أقرب وقت ممكن ؟,خذي روفاميسين,أمراض نسائية
أنا فتا +ه عمري 37 و+ اعاني من الم أسفل بطني ب+ صور +ه مفاجئ +ه أحيان +ا يصاحب +ه اسهال و+ أحيان +ا قئ و+ غثيان و+ لا أستطيع مزاول +ة عملي علم +ا بان في بعض ال+ شهور تأتي ال+ دوره مر +ت +ين و+ لم . .,بعض ال+ إعراض التي تعانى من +ها ترجع ل+ ال+ قولون و جربى دواء مطهر ل+ ال+ قولون مثل ال+ فلاجيل 500 مج مر +ت +ين يومي +ا بعد ال+ أكل ل+ مد +ة 10 أيام - ال+ دوره موضوع آخر و+ تحتاج ل+ تقييم هرمون +ات ال+ انوثه حتى تعطين احاب +ه سليم +ه,أمراض الجهاز الهضمي
دائم +ا رائح +ه ال+ براز سيئ +ه جد +ا مع ال+ علم انى أخذ +ت جرع ل+ ال+ ديدان و+ لكن ب+ دون فائد +ه,يمكن عمل فحص براز ل+ معرف +ة ان في +ه جراثيم أو طفيلي +ات ل+ علاج +ها و+ أيض +ا إستخدام خماير هاضم +ة Myzemمع ال+ طعام يفيد,أمراض الجهاز الهضمي
تأخر +ت دورتي ال+ شهري +ة 14 يوم و عمل +ت تحليل ال+ بول و طلع إيجابي هل ممكن أكون حامل ؟ و هل من ال+ ظروري زيار +ة ال+ طبيب ل+ ال+ تأكد ؟,نعم . . حامل . . راجع +ي,أمراض نسائية
أنا حامل في ال+ أسبوع ال+ راع و+ اشعر ب+ ألم أسفل ال+ بطن و+ لكن لايوجد دم هل أعراض حملةخارج ال+ رحم علم +ا باني مصاب +ة ب+ التهاب ال+ حوض,ب+ سبب ال+ التهاب +ات,أمراض نسائية
اعاني من ثقل في صدري مع تسارع دق +ات ال+ قلب و+ ضيق تنفس و+ الم يمتد الى ال+ يد ال+ أيسر و+ سوى هضم مع حموض +ه و+ طعم غريب ب+ فمي ل+ ال+ علم أنا اعاني من ال+ معده و+ ال+ قولون هل . .,محتاج +ه عمل موج +ات صوتي +ه علي ال+ قلب ( ايكو ),أمراض القلب و الشرايين
هل يؤخذ شراب موتيلوم قبل ال+ أكل أو بعد ال+ أكل . . و+ اي +هما أفضل ؟,يؤخذ قبل ال+ أكل ب+ نصف ساع +ه,علم الصيدلة
أريد أن أعرف هل ال+ جلوس على ال+ أرض مع تربيع ال+ رجل +ين ل+ فتر +ة تقريب +ا ساع +ت +ين مع صعودونزول ال+ درج يومياللدورالاول يؤثرعلى ظهرى ل+ أن هذايضطرنى من أجل ظروف عملى علم +ا ب+ انى عندى غضروف في . .,"لاينصح ب+ ال+ جلوس في هذه ال+ وضعي +ة ل+ ما ل+ +ه من تأثير على مفصل ال+ ركب +ت +ين و+ ال+ تسبب ب+ اجهاد +هما كذلك ال+ حال +ة ل+ فقر +ات ال+ ظهر , ينصح عمل فحص هشاش +ة ال+ عظم و+ مراجع +ة مركز علاج طبيعي و+ ال+ عمل على تقوي +ة عضل +ات ال+ ظهر",أمراض العضلات والعظام و المفاصل
